Club_ID,Club_Name,Primary language,Address (Street and Number),Zipcode,City,Province,Country,Participation Games 2015,Participation Games 2016,Participation Games 2017,Participation Games 2018,Participation Games 2019,Participation Games 2022,Participation Games 2023,Participation Games 2024,Participation Games 2025
234,CONFORT SOCIAL,French,"Rue de la Chassaudrie, 23-25",7600.0,PERUWELZ,Hainaut,,0.0,True,True,True,True,,,,
235,LES FOUGERES,French,Rue du Loutrier 63,1170.0,BRUXELLES,Brussel/Bruxelles,BELGIQUE,1.0,True,True,False,True,1.0,1.0,1.0,1.0
236,LA MAISON D'EMERAUDE,French,"Rue Aze Fosse, 31",6870.0,ARVILLE,Luxembourg,,0.0,False,False,False,False,,,,
237,EMBARQUEMENT IMMEDIAT,French,avenue Macar 5,4100.0,SERAING,Liège,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
238,LE VILLAGE,French,Avenue François Geuten 88,7780.0,COMINES,Hainaut,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
241,MISTRAL SPORT,French,Rue Solovaz 15,4470.0,SAINT-GEORGES-SUR-MEUSE,Liège,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
242,C.S. LES TCHANTCHES,French,Rue de Herve 449,4030.0,GRIVEGNEE,Liège,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
243,LES RENES DE LA VIE,French,Chaussée de Bruxelles 111 bte 4,1310.0,LA HULPE,Brabant Wallon,Belgium,,False,False,False,False,,1.0,1.0,
245,EQUISTAL,French,"Rue du Centre, 59",1404.0,BORNIVAL,Brabant Wallon,,1.0,True,True,True,True,,,,
246,LE COUP FRANC,French,Rue St. Wivine 15,1315.0,SART-RISBART,Brabant Wallon,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
248,I.S.B.,French,Kattenberg 19,1170.0,BOITSFORT,Brussel/Bruxelles,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
249,ROQUEBRUNE,French,Avenue Vauban 8,5000.0,NAMUR,Namur,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,
251,LES PETITS GODETS,French,Rue de Cronfestu 28,7141.0,CARNIERES,Hainaut,BELGIQUE,1.0,True,True,True,True,1.0,,,
252,LA FORET,French,Val des Epinettes 17,1150.0,BRUXELLES,Brussel/Bruxelles,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
